Classification on yeast for yeast_data with adaboost.

Database configuration : 
	- Database name : yeast
	- View name : yeast_data	 View shape : (1484, 8)
	- Learning Rate : 0.75
	- Labels used : CYT, non-CYT
	- Number of cross validation folds : 7

Classifier configuration : 
	- Adaboost with n_estimators : 63, base_estimator : DecisionTreeClassifier
	- Executed on 6 core(s) 


	For Accuracy score using {}, (higher is better) : 
		- Score on train : 0.8661275831087152
		- Score on test : 0.7601078167115903

	For F1 score using average: micro, {} (higher is better) : 
		- Score on train : 0.8661275831087152
		- Score on test : 0.7601078167115903

	For Balanced accuracy score using {}, (higher is better) : 
		- Score on train : 0.8270761694795374
		- Score on test : 0.6915652467883705

Test set confusion matrix : 

╒═════════╤═══════╤═══════════╕
│         │   CYT │   non-CYT │
╞═════════╪═══════╪═══════════╡
│ CYT     │    59 │        57 │
├─────────┼───────┼───────────┤
│ non-CYT │    32 │       223 │
╘═════════╧═══════╧═══════════╛



 Classification took 0:00:33

 Classifier Interpretation : 
Feature importances : 
- Feature index : 2, feature importance : 0.301462752755092
- Feature index : 1, feature importance : 0.19234966046177274
- Feature index : 3, feature importance : 0.16606589993147078
- Feature index : 0, feature importance : 0.153036684017318
- Feature index : 6, feature importance : 0.08449714571757623
- Feature index : 7, feature importance : 0.07314735166852139
- Feature index : 5, feature importance : 0.02944050544824877
- Feature index : 4, feature importance : 2.9777099763094413e-20


 Estimator error | Estimator weight
0.27133872416891286 | 0.06789639427695097
0.3125239872285871 | 0.054184660658339746
0.35139131632083215 | 0.042127908777938636
0.3753475165708386 | 0.035008227829911025
0.3433185915298112 | 0.0445755284420749
0.43961306284414714 | 0.016683520380817368
0.4139266476932057 | 0.023902014265707084
0.42215229436328117 | 0.021578046733930756
0.42018783086646183 | 0.022131901329828407
0.4124635626925254 | 0.02431675879756495
0.40385831581112996 | 0.026765261348922067
0.47223394006616937 | 0.007641540539953134
0.4604588369301019 | 0.010893737416320515
0.4569688650134638 | 0.011859820852095037
0.43033243152853917 | 0.0192790099104667
0.42188882346219236 | 0.021652288161907673
0.43078499315831953 | 0.019152140747204893
0.40695883218692 | 0.0258811972331621
0.42173166551109675 | 0.021696578448860873
0.4497867954327875 | 0.013851730025392767
0.47147034854888514 | 0.007852141028633517
0.47927750763227256 | 0.005700467488933606
0.4610877805448649 | 0.010719752049156947
0.48321172038687077 | 0.0046173109016802135
0.4766457002501517 | 0.0064254362684865035
0.4784585262164027 | 0.005926031720272873
0.4791309734863299 | 0.0057408237010644556
0.48503123913967766 | 0.004116567923806072
0.48544923397160694 | 0.004001549029920782
0.483411359596458 | 0.004562363195371214
0.4837813162634085 | 0.004460541995922842
0.48639040484495516 | 0.003742588973605615
0.4867148667854166 | 0.003653320591096694
0.48458009844966143 | 0.004240713975378082
0.4783559805176233 | 0.005954277124796146
0.4774307428651135 | 0.006209149553732892
0.4814297117463 | 0.005107849531795964
0.46904173553079315 | 0.008522208351064127
0.4655558791912744 | 0.009484690287683823
0.47549594264851014 | 0.006742263119417045
0.4274222335406526 | 0.020095631858249526
0.41521371420069864 | 0.023537522255665952
0.46234615226418807 | 0.010371749593854613
0.47406189140961374 | 0.007137530560125711
0.47982682683915073 | 0.005549191007890273
0.4806091757498121 | 0.005333763802110506
0.46884718328004465 | 0.008575903439166817
0.4473674814778613 | 0.0145239801126152
0.4283408620596821 | 0.019837708785674806
0.40758038093050064 | 0.02570422883966603
0.4248118425036862 | 0.020829324367248964
0.41394689559822995 | 0.023896277577301613
0.4058528515510169 | 0.026196304066022434
0.40715374071630295 | 0.02582569345285376
0.4122468508120646 | 0.024378227776752564
0.4508039793822161 | 0.01356928597944055
0.45235276453977624 | 0.013139449290483005
0.43138832931221716 | 0.018983054473058016
0.4528833306242418 | 0.012992259789153448
0.47036171927732595 | 0.008157969625098304
0.47057577857281685 | 0.008098912626724712
0.472742981933607 | 0.007501165459447604
0.4748998424495723 | 0.006906552272226428
