,decision_tree,adaboost,samba,random_forest,random_scm,scm
rna_iso-ID_1482,0.15554313680645068,0.033085325211975054,0.06666666666666664,0.0029325060309081754,0.029829427297939456,0.06666666666666668
mirna-ID_221,0.10868087323012221,0.020832366609660584,0.05599999999999999,0.024739613437102424,0.027766917622059132,0.05000000000000001
methyl-ID_33,0.16314868037028693,0.006154538947133533,0.005555555555555553,0.006167175482659498,0.014746282915927812,0.04000000000000001
clinic-ID_0,0.009509079470351192,0.009615312341516476,0.0,0.011995488743212318,0.013472196169583549,0.15000000000000002
clinic-ID_10,0.05397309912990532,0.0677024665379605,0.019512195121951213,0.03658107889416681,0.014489366871115595,0.0
mirna-ID_161,0.038920899608271595,0.02421081848474105,0.05599999999999999,0.007660028695661759,0.052378503696157,0.0
clinic-ID_14,0.013061290529279762,0.015292810372116097,0.10731707317073168,0.015963143843477925,0.01028544997419034,0.01666666666666667
rna_iso-ID_635,0.012828937658710484,0.0004833840282381767,0.06666666666666664,0.005718927915088385,0.01789765637876367,0.06666666666666668
rna-ID_202,0.0,0.013808213401259992,0.06956521739130432,0.006713032987201862,0.004805822686025203,0.05000000000000001
rna-ID_279,0.06565741660006867,0.0,0.052173913043478244,0.005558870864202041,0.0038446581488201627,0.0
clinic-ID_4,0.016218378513051045,0.01619670869842886,0.04390243902439023,0.018499032161363154,0.009523690406755414,0.0
mirna-ID_171,0.014316056237111408,0.0076294953565724435,0.007999999999999997,0.015924975552775895,0.005121453694735351,0.05000000000000001
rna-ID_430,0.09622465722818781,0.0,0.0,0.0013880234169266431,0.0011533974446460487,0.0
rna_iso-ID_1958,0.0070234695289164055,0.0,0.0,8.884126198619291e-05,0.006090174739995972,0.06666666666666668
rna_iso-ID_575,0.0,0.0,0.06666666666666664,0.0028717297031517954,0.0,0.0
clinic-ID_8,0.004401958438521077,0.008621821726164389,0.004878048780487803,0.012722395730110473,0.0186141384520802,0.01666666666666667
mirna-ID_236,0.0,0.00752400676013564,0.02399999999999999,0.01606167825732198,0.01445571607384978,0.0
mirna-ID_169,0.00429411162478882,0.0018027805775187688,0.0,0.0015574384025939998,0.002909916872008722,0.05000000000000001
mirna-ID_162,0.0065947152919630225,0.0002763060585533637,0.0,0.000737966503383333,0.0,0.05000000000000001
methyl-ID_387,0.0,0.0019519312566727333,0.0,0.0005409407719982079,0.013824640233682326,0.04000000000000001
clinic-ID_15,0.007381858938711507,0.0070338086923321845,0.0,0.006705892927612238,0.01571067302571855,0.01666666666666667
rna-ID_519,0.0,0.0,0.0,0.00025207807211154556,0.0005149095735027003,0.05000000000000001
rna-ID_16,0.0,0.0,0.0,3.653291196594052e-05,0.0002002426119177168,0.05000000000000001
rna-ID_258,0.0,0.0,0.0,3.7790600945936225e-05,0.0,0.05000000000000001
clinic-ID_17,0.009183851498667671,0.007521268936722794,0.004878048780487803,0.01585412414355981,0.012244583302607547,0.0
methyl-ID_1153,0.0,0.0,0.005555555555555553,0.0006467947172502074,0.0026022852204578496,0.04000000000000001
clinic-ID_12,0.023517687953489054,0.00916076273808032,0.0,0.00998474441834634,0.005731959239853871,0.0
clinic-ID_13,0.013212754513454758,0.010233540055291025,0.0,0.012050274435592655,0.011663484434009223,0.0
mirna-ID_91,0.0,0.0062617491749051265,0.03199999999999999,0.008246825478705816,0.0,0.0
clinic-ID_16,0.007263555386773831,0.009033144060472072,0.004878048780487803,0.01157604816272968,0.012039419824510587,0.0
methyl-ID_724,0.0,0.0,0.0,0.0011668560893744729,0.0027649280467364652,0.04000000000000001
clinic-ID_7,0.009354580852292457,0.008518015564372651,0.0,0.008261577893127828,0.015384592546140635,0.0
clinic-ID_3,0.010213257118515309,0.009790707020553638,0.0,0.01322172358517348,0.007731141469177705,0.0
mirna-ID_8,0.0,0.007794370960746514,0.02399999999999999,0.005599292340853418,0.0031613911695897224,0.0
methyl-ID_1953,0.0,0.0,0.0,6.0559523489669575e-05,0.0,0.04000000000000001
clinic-ID_11,0.005679544297985293,0.006736800970082407,0.009756097560975606,0.0074805416073095736,0.009397458265613525,0.0
methyl-ID_126,0.0,0.001923602729414386,0.005555555555555553,0.00935672124917638,0.022119424373891722,0.0
clinic-ID_1,0.005305151670499915,0.004539223438446279,0.004878048780487803,0.009886397749377194,0.013412136789745193,0.0
methyl-ID_97,0.028905744027263335,0.0018908083578387362,0.0,0.0011677562161966585,0.0,0.0
rna-ID_88,0.0,0.0,0.020289855072463763,0.006036445606687199,0.004449835820393706,0.0
rna-ID_55,0.0,0.0,0.023188405797101443,0.002293574404883949,0.0035411325054922546,0.0
rna-ID_546,0.0,0.004513136856652461,0.020289855072463763,0.0009385885718316321,0.0002089488124358784,0.0
clinic-ID_5,0.005899492317391555,0.004559670614298567,0.0,0.004641513278269849,0.007383373859837532,0.0
rna_iso-ID_634,0.01067336501241303,0.005736560232694996,0.0,0.003731040728321208,0.0,0.0
methyl-ID_1462,0.0,0.0014397629229097153,0.0,0.003223014254628503,0.01421962995464468,0.0
methyl-ID_1057,0.0,0.004655397666487893,0.011111111111111106,0.0010991001840556824,0.0015799588838494088,0.0
methyl-ID_84,0.0,0.002607702071409538,0.0,0.0016105943898602091,0.013611953460856445,0.0
rna-ID_73,0.0,0.0029180442599630657,0.00869565217391304,0.003155774161906755,0.002002426119177168,0.0
clinic-ID_9,0.004372658850462808,0.0027380458279954935,0.0,0.0019998838592734233,0.0068342783271006105,0.0
clinic-ID_6,0.0014518005206474785,0.001963766648325744,0.0,0.00234957903919251,0.009581158145449171,0.0
rna_iso-ID_1613,0.0,0.01436607899560521,0.0,0.0004257422948747567,0.0,0.0
rna_iso-ID_85,0.0,0.0035825317242743045,0.0,0.005939600217132027,0.0035649803356073984,0.0
rna_iso-ID_87,0.0,0.005977916516735125,0.0,0.001569359618247339,0.005515629953203899,0.0
methyl-ID_1633,0.0,0.0025964681088378053,0.005555555555555553,0.0003128605226580403,0.004423884874778345,0.0
rna-ID_94,0.0,0.0,0.0028985507246376803,0.007372769573680256,0.0025631054325467753,0.0
methyl-ID_1708,0.0,0.0013177831621105553,0.011111111111111106,3.1589674354759105e-05,0.0,0.0
mirna-ID_64,0.0,0.0,0.0,0.005081701932545634,0.007358410480941596,0.0
methyl-ID_109,0.0,0.003915154069494253,0.005555555555555553,0.00021555410469024756,0.0022119424373891724,0.0
rna_iso-ID_1568,0.0,0.007189214401753394,0.0,0.004541102309363754,0.0,0.0
rna_iso-ID_494,0.0,0.0,0.0,0.0040105224845345695,0.0069601997028525394,0.0
rna-ID_1437,0.0,0.006601706160889303,0.0,0.003933684109449777,0.00033143604731208297,0.0
methyl-ID_1866,0.0,0.0026023109725383468,0.005555555555555553,0.0003994965763602173,0.0022119424373891724,0.0
mirna-ID_152,0.0,0.0012303062107456753,0.0,0.0037553091201910954,0.005532434546782015,0.0
rna-ID_342,0.0,0.0,0.0,0.006019993209395408,0.00397002743628169,0.0
methyl-ID_631,0.007945575602449734,0.00013612347236680535,0.0,6.0041108383849045e-05,0.0018432853644909765,0.0
rna-ID_1609,0.0,0.00835196638973629,0.0,0.001076110934828578,0.0,0.0
rna_iso-ID_916,0.0,0.0,0.0,0.0051033822489518895,0.004298946875291274,0.0
methyl-ID_676,0.0,0.00033915318153382044,0.0,0.0034920803710705166,0.0055298560934729304,0.0
